Molecule ChEMBL ID,Molecule Name,Smiles
CHEMBL17430,,Nc1nc(N)c2c(CSc3ccc(Cl)c(Cl)c3)c[nH]c2n1
CHEMBL130414,,COc1ccc2c(c1)/C(=C1/SC(=S)NC1=O)C(=O)N2
CHEMBL32266,,COc1cc(CNc2cnc3nc(N)nc(N)c3c2)cc(OC)c1
CHEMBL285448,,COc1ccc(OCCCCCC(=O)O)cc1Cc1cnc(N)nc1N
CHEMBL55371,,O=P(O)(O)C(Nc1cccc(-c2ccccc2)c1)P(=O)(O)O
CHEMBL371456,,O=P(O)(O)C(O)(Cc1cccc(Br)c1)P(=O)(O)O
CHEMBL55889,,O=P(O)(O)C(Nc1ccc2c(c1)CCC2)P(=O)(O)O
CHEMBL196554,,COc1cccc(CC(O)(P(=O)(O)O)P(=O)(O)O)c1
CHEMBL80065,,Cc1c(CNc2ccc(Br)cc2)cnc2nc(N)nc(N)c12
CHEMBL423560,,COc1cc2c(cc1OC)N(Cc1cnc3nc(N)nc(N)c3c1C)CC2
CHEMBL36,PYRIMETHAMINE,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
CHEMBL161117,,NC1=NC(c2cccc(Oc3ccccc3)c2)N(c2cccc(Cl)c2)C(N)=N1
CHEMBL80066,,Cc1c(CNc2cccc(Cl)c2)cnc2nc(N)nc(N)c12
CHEMBL312348,,COc1ccc(NCc2cnc3nc(N)nc(N)c3c2C)cc1
CHEMBL1793810,,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2CC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O
CHEMBL120821,,C#CCN(CC1CCc2nc(N)nc(N)c2C1)c1cc(OC)c(OC)c(OC)c1
CHEMBL337746,,COc1ccccc1S(=O)(=O)c1ccc2nc(N)nc(N)c2n1
CHEMBL118367,,CCCCC(CC)COc1c(CC)cc(Cc2cnc(N)nc2N)cc1CC
CHEMBL66195,,COc1cc(OC)cc(C(=O)N[C@@H]2C(Cn3cnc4c(NC5CCCc6ccccc65)ncnc43)OC(CO)[C@@H]2O)c1
CHEMBL80070,,COc1cccc(NCc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL21921,,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCc2ccccc2)n1
CHEMBL923,RISEDRONIC ACID,O=P(O)(O)C(O)(Cc1cccnc1)P(=O)(O)O
CHEMBL75913,,COc1cc(/N=c2\ssnc2Cl)cc(OC)c1OC
CHEMBL116183,,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1OCC
CHEMBL24374,,COc1c(C(C)(C)C)cc(Cc2cnc(N)nc2N)cc1C(C)(C)C
CHEMBL1793812,,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC(=O)[C@H](CCCCCC(=O)C2CO2)NC(=O)[C@H]2CCCCN2CC1=O
CHEMBL106901,,COc1cc(C[N+](C)(C)CCCN2c3ccccc3Sc3ccc(Cl)cc32)cc(OC)c1
CHEMBL64311,,COc1cc(CNc2ncnc3c2ncn3[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2NC(=O)c2cc(Cl)cc(Cl)c2)c2ccccc2c1
CHEMBL352441,,Nc1nc(N)c(-c2cccc(Cl)c2)c(CCCOC(=O)OCc2ccccc2)n1
CHEMBL158570,,NC1=NC(c2cccc(Oc3ccc(Cl)cc3)c2)N(c2cccc(Cl)c2)C(N)=N1
CHEMBL536752,,CN(C)CCC(=O)c1ccc(Cl)c(Cl)c1.Cl
CHEMBL116993,,CCc1cc(Cc2cnc(N)nc2N)cc(CC)c1OCCOCc1ccccc1
CHEMBL440946,,CC(C)c1cc(Cc2cnc(N)nc2N)cc(C(C)C)c1O
CHEMBL2171452,,COc1ccc(C2=NN(C3CCCCCC3)C(=O)C2(C)C)cc1OCCCCOc1ccc(-c2nn[nH]n2)cc1
CHEMBL1539388,,O=C(/C=C/c1cccs1)c1ccc(Br)cc1
CHEMBL112610,,c1ccc2sc(-c3ccncc3)nc2c1
CHEMBL183767,,N/C(S)=N/N=C(\Cc1ccccc1)c1ccc(Cl)c(Cl)c1
CHEMBL183005,,N/C(S)=N/N=C(\CCc1ccccc1)c1ccc(Cl)c(Cl)c1
CHEMBL311432,,Cc1c(CO)cnc2nc(N)nc(N)c12
CHEMBL22811,,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
CHEMBL22138,,Nc1ncc(Cc2ccc(OCc3ccccc3)c(OCc3ccccc3)c2)c(N)n1
CHEMBL298852,,CCCCCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL301244,,CN(CCc1ccccc1)CCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL39814,,CN(C)c1ccc(/C=N/NC(=O)c2ccccc2)c2ccccc12
CHEMBL119,TRIMETREXATE,COc1cc(NCc2ccc3nc(N)nc(N)c3c2C)cc(OC)c1OC
CHEMBL44789,,Nc1ccnc2cc(Cl)ccc12
CHEMBL289164,,O=C(N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1)c1ccccc1O
CHEMBL279948,,Cc1nc(N)nc(N)c1Cc1ccc(OCc2ccccc2)c(OCc2ccccc2)c1
CHEMBL1458446,,Cc1ccccc1C(=O)NNC(=S)NC(=O)c1ccccc1
CHEMBL1459755,,O=C(O)c1ccc(COc2ccc3ccccc3c2/C=C2/NC(=O)N(c3ccccc3)C2=O)cc1
CHEMBL1412811,,Cl.O=C(CSc1nc[nH]n1)Nc1ccc([N+](=O)[O-])cc1Br
CHEMBL1401270,,CN(C)c1ccc(N=Nc2ccccc2C(=O)OCC(=O)N(C)C2CCCCC2)cc1
CHEMBL1382690,,O=C(O)C1CCCCC1C(=O)Nc1ccc(Cl)cc1Cl
CHEMBL1448792,,CC1CCN(S(=O)(=O)c2ccc(NC(=O)CSc3ncccc3C(=O)O)cc2)CC1
CHEMBL1401643,,Nc1n[nH]c(N)c1N=Nc1cccc(F)c1
CHEMBL1501536,,CCOc1ccc(NC(=O)CSc2nnc(CCNC(=O)c3ccc(OC)cc3)n2CC)cc1
CHEMBL1374735,,O=S(=O)(Nc1cccc2nsnc12)c1ccccc1
CHEMBL1334886,,Cc1noc(NS(=O)(=O)c2ccc(NC(=O)CSc3n[nH]c4c5ccccc5nc-4n3)cc2)c1C
CHEMBL419055,,CCc1nc(N)nc(N)c1Cc1cc(OC)c(OC)c(OC)c1
CHEMBL142624,,COc1cc(CCc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC
CHEMBL3108984,,COc1ccc2cc(-c3n[nH]c(N)c3C(N)=O)ccc2c1
CHEMBL3108993,,CN1CCC(n2nc(-c3ccc4ccccc4c3)c(C(N)=O)c2N)CC1
CHEMBL3108912,,CC(C)(C)n1nc(-c2ccc3ccccc3c2)c(C(N)=O)c1N
CHEMBL121319,,Nc1nc(N)c2c(n1)CCC(CNc1cc(Cl)ccc1Cl)C2
CHEMBL291931,,COc1ccc(Cc2cnc(N)nc2N)cc1OCc1ccccc1
CHEMBL52777,,COc1ccc(NCc2ccc3nc(N)nc(N)c3n2)cc1
CHEMBL57682,,COc1cc(-n2ccc3c4c(N)nc(N)nc4nc(=O)c-3c2)cc(OC)c1OC
CHEMBL368645,,COc1cc(N2C=Cc3c(cnc4nc(N)nc(N)c34)C2)cc(OC)c1OC
CHEMBL182790,,N/C(S)=N/N=C(\COc1ccccc1)c1ccc(Cl)c(Cl)c1
CHEMBL54792,,COc1cccc(N(C)Cc2ccc3nc(N)nc(N)c3n2)c1
CHEMBL141218,,COc1ccc(Nc2ccc3nc(N)nc(N)c3n2)cc1
CHEMBL249814,,CCOC(=O)[C@H]1O[C@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
CHEMBL178119,,COc1cc(OC)c(CN(C)c2ccc3nc(N)nc(N)c3c2)c(OC)c1
CHEMBL120939,,CCOc1ccc(OCC)c(NCC2CCc3nc(N)nc(N)c3C2)c1
CHEMBL178684,,COCc1cc(N(C)CC2CCc3nc(N)nc(N)c3C2)cc(COC)c1COC
CHEMBL1171239,,O=C(CBr)N(c1ccc(Cl)cc1)S(=O)(=O)c1cc(Cl)sc1Cl
CHEMBL325533,,COc1cc(Cc2c(C)nc(N)nc2N)cc(OC)c1OC
CHEMBL33136,,Nc1nc(N)c2cc(NCCc3ccccc3)cnc2n1
CHEMBL595497,,CCCC(=Cc1coc2nc(=N)[nH]c(N)c12)c1ccccc1OC
CHEMBL3329506,,Brc1ccc(-c2csc(N/N=C/c3ccccn3)n2)cc1
CHEMBL3939185,,COc1ccc(C2(c3ccc(OC)cc3)NC(=N)N(CC3CCCO3)C2=O)cc1
CHEMBL1951246,,COc1cc(C)c(S(=O)(=O)Nc2c(C)noc2C)c(C)c1C
CHEMBL1951268,,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc2c(c1)CCC(=O)N2
CHEMBL1951266,,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(N2CCOCC2)nc1
CHEMBL199405,,O=C(N/N=C/c1cc(Br)ccc1O)c1ccncc1
CHEMBL200450,,N#Cc1ccc(Oc2ccc(Cl)cc2O)c(Cl)c1
CHEMBL4110040,,Cc1c(NS(=O)(=O)c2ccc(-c3ccc4c(c3)CNCCC4)cc2)c(CC(C)C)nn1C
CHEMBL4111502,,Cc1c(NS(=O)(=O)c2ccc(-c3ccc4c(c3)CNCC4)cc2)c(CC(C)C)nn1C
CHEMBL4111588,,Cc1nn(C)c(C)c1NS(=O)(=O)c1ccc(-c2cccc(-c3c[nH]cn3)c2)cc1
CHEMBL3901961,,CC(C)c1nn(C)c(C(C)C)c1NS(=O)(=O)c1ccc(CCCC2CCN(C)CC2)cc1
CHEMBL3924504,,Cc1c(NS(=O)(=O)c2ccc(-c3cccc(C(C)(C)N4CCCC4)c3)cc2)c(CC(C)C)nn1C
CHEMBL181902,,N/C(S)=N/N=C(/c1ccc(Cl)c(Cl)c1)C1CCCCC1
CHEMBL10,SB-203580,C[S+]([O-])c1ccc(-c2nc(-c3ccc(F)cc3)c(-c3ccncc3)[nH]2)cc1
CHEMBL152627,,CC1=C(NCCCNCCCCNCCCN)C(=O)c2c(O)cccc2C1=O
CHEMBL356201,,CC1=C(CCC(=O)NCCCN2CCN(CCCNC(=O)CCC3=C(C)C(=O)c4ccccc4C3=O)CC2)C(=O)c2ccccc2C1=O
CHEMBL492719,,Cc1cc(Nc2ccc(C)c(F)c2)n2ncnc2n1
CHEMBL1173673,,COCCn1c(C)cc(C(=O)COC(=O)CNC(=O)c2ccccc2)c1C
CHEMBL1172971,,Cc1ccccc1OCC(=O)NCC(=O)OCC(=O)c1ccc2ccccc2c1
CHEMBL152150,,CC1=C(NCCCNCCC/N=C2/C(=O)c3ccccc3C(O)=C2C)C(=O)c2ccccc2C1=O
CHEMBL1172128,,Cc1cc(C)c(NS(=O)(=O)c2ccc(Br)cc2)c(C)c1NS(=O)(=O)c1ccc(Br)cc1
CHEMBL1170724,,Cc1ccc(NS(=O)(=O)c2ccc(Br)cc2)cc1Cl
CHEMBL1171400,,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1ccc(Cl)cc1
CHEMBL1171969,,O=S(=O)(Nc1cccc(C(F)(F)F)c1)c1cc(Cl)c(Cl)cc1Cl
CHEMBL1172328,,O=S(=O)(Nc1ccc(Cl)cc1)c1c(Cl)sc(Cl)c1Cl
CHEMBL1171237,,Cc1ccc(N(C(=O)CCl)S(=O)(=O)c2c(Cl)sc(Cl)c2Cl)cc1
CHEMBL3099280,,CCCCCCCCCCNCC(O)(P(=O)(O)O)P(=O)(O)O
CHEMBL3099276,,CCCCCCCCCC(F)(P(=O)(O)O)P(=O)(O)O
CHEMBL3108833,,Cc1cc(NS(=O)(=O)CCNC(=O)Cc2ccc(Cl)c(Cl)c2)no1
CHEMBL1542164,,CCN(CC)S(=O)(=O)N1CCC(C(=O)NCC2COc3ccccc3O2)CC1
CHEMBL1611017,,CC(=O)NNC(=S)NC(=O)c1cccc([N+](=O)[O-])c1
CHEMBL1403877,,O=C(O)c1ccc(/C=C/c2ccc3cccc(O)c3n2)cc1
CHEMBL1522248,,O=C(c1cn[nH]c1)c1cc(F)ccc1O
CHEMBL1307249,,Cc1ccc(N(CC(N)=O)C2SC(=O)N(Cc3cccc(C(=O)O)c3)C2=O)cc1
CHEMBL1505651,,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Nc3ccc4c(c3)OCO4)cc2)no1
CHEMBL1600606,,Cc1cc(C)c(NC(=O)CN2C(=O)NC3(CCCCC3)C2=O)c(C)c1
CHEMBL22146,,COc1cc(Cc2cnc(N)nc2N)ccc1OCc1ccccc1
CHEMBL22901,,CCOc1cc(Cc2cnc(N)nc2N)ccc1OCc1cc(OC)c(OC)c(OC)c1
CHEMBL52698,,CN(Cc1ccc2nc(N)nc(N)c2n1)c1cc(Cl)c(Cl)c(Cl)c1
CHEMBL3108857,,O=C(Cc1ccc(Cl)c(Cl)c1)Nc1ccc(S(=O)(=O)Nc2ccccc2)cc1
CHEMBL3108852,,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)Cc3ccc4ccccc4c3)cc2)no1
CHEMBL1714971,,COc1ccc2c(c1)c(=Cc1ccc(N(C)C)cc1)c1cc(-c3ccccc3)[n+](C)n12.O=S(=O)([O-])C(F)(F)F
CHEMBL249815,,CCOC(=O)[C@@H]1O[C@@H]1C(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1
CHEMBL2431491,,CCNC(=O)C1=C(Nc2ccc3ccccc3c2)SCC1=O
CHEMBL2431515,,CCOC(=O)C1=C(Nc2ccc3ccccc3c2)SCC1=O
CHEMBL2436772,,COc1ccc(C2=NN(C3CCCC3)C[C@H]3CC=CC[C@@H]23)cc1OC1CCCC1
CHEMBL377557,,O=C(CN1C(=O)[C@@H](COC(=O)Nc2ccccc2)N=C(c2ccccc2)c2ccccc21)N[C@H]1CC(=O)OC1O
CHEMBL88734,,C/C(=N\N=C(\N)S)c1cccc(Br)c1
CHEMBL137844,,COc1ccc(Sc2ccc3nc(N)nc(N)c3n2)cc1
CHEMBL141260,,COc1ccc(OC)c(Nc2ccc3nc(N)nc(N)c3n2)c1
CHEMBL123043,,CN(CC1CCc2nc(N)nc(N)c2C1)c1ccc(Cl)cc1
CHEMBL296588,PEPSTATIN,CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C
CHEMBL234060,,C[C@H](Nc1nccc(-c2c(-c3ccc(F)cc3)nc3cc(CN(C)CCCN(C)C)ccn23)n1)c1ccccc1
CHEMBL257594,,Cc1ccc2c(NNC(=O)c3ccccc3O)c3ccccc3nc2c1C
CHEMBL92099,,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1
CHEMBL90819,,C/C(=N\N=C(\N)S)c1ccccc1Br
CHEMBL330050,,C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1
CHEMBL415311,,N/C(S)=N/N=C/c1ccc(Cl)c(Cl)c1
CHEMBL342555,,COc1cc(N(C=O)Cc2cnc3nc(N)nc(N)c3c2)cc(OC)c1OC
CHEMBL567132,,c1ccc(-c2cc3c(NCC4COc5ccccc5O4)ncnc3s2)cc1
CHEMBL145691,,COc1ccc(CCC2CNc3nc(N)nc(N)c3C2)cc1OC
CHEMBL7492,PIRITREXIM,COc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL1957235,,O=C(Cn1c(-c2cscn2)nc2ccccc21)Nc1ccc(F)cc1
CHEMBL1957253,,O=C(Cn1c(-c2cncs2)nc2ccccc21)Nc1ccc(Cl)cc1
CHEMBL101908,,Nc1nc(N)c2nc(CSc3ccc4ccccc4c3)[nH]c2n1
CHEMBL379701,,N=C(NCCCNCCCCCCCNCCCNC(=N)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1
CHEMBL210370,,N=C(NCCCNCCCCNCCCNC(=N)NCC(c1ccccc1)c1ccccc1)NCC(c1ccccc1)c1ccccc1
CHEMBL380857,,N=C(NCCCNCCCCNCCCNC(=N)NCCC(c1ccccc1)c1ccccc1)NCCC(c1ccccc1)c1ccccc1
CHEMBL53,APOMORPHINE,CN1CCc2cccc3c2[C@H]1Cc1ccc(O)c(O)c1-3
CHEMBL538585,,CC(C)(C)c1cc(CNCCO)cc(C(C)(C)C)c1O.Cl
CHEMBL404321,,C[n+]1c2ccccc2c(NC2CCNCC2)c2[nH]c3ccccc3c21.[Cl-]
CHEMBL253508,,CN(C)CCCNc1c2ccccc2[n+](C)c2c1[nH]c1ccccc12.[Cl-]
CHEMBL1289049,,C[n+]1c2cc(Cl)ccc2c(NC2CCNCC2)c2[nH]c3ccccc3c21.[Cl-]
CHEMBL533921,,COCCNC(=O)c1ccc(OC2CCN(Cc3ccc(F)c(F)c3)CC2)c(Cl)c1
CHEMBL2426555,,Cc1c(Oc2ccc(Cl)cc2O)c(=O)oc2cc(O)ccc12
CHEMBL1447124,,Cc1ccc(NC(=O)c2cc(N3C(=O)C=CC3=O)ccc2Cl)cc1C
CHEMBL1397665,,Clc1nssc1=Nc1nncs1
CHEMBL1533968,,NCCNc1ccc(C(=O)N2c3ccccc3Sc3ccccc32)cc1[N+](=O)[O-]
CHEMBL1720128,,Cc1ccc(NC(=O)Cn2sc3ccccc3c2=O)cc1
CHEMBL197836,,CCc1ccc(NC(P(=O)(O)O)P(=O)(O)O)cc1
CHEMBL190924,,OCCCN1CCC(c2cc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)CC1
CHEMBL194505,,CC(O)[C@H](CO)N1CCC(c2cc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)CC1
CHEMBL1721597,,O=C(COc1ccccc1F)OCC(=O)c1ccc([N+](=O)[O-])cc1
CHEMBL1381271,,CN1CCN(C(=S)c2ccc([N+](=O)[O-])cc2)CC1
CHEMBL1723964,,O=C1C(=Cc2cccc(O)c2O)SC(=S)N1CCCN1CCOCC1
CHEMBL116548,,COc1cc(SSc2cc(OC)cc([N+](=O)[O-])c2N)c(N)c([N+](=O)[O-])c1
CHEMBL81820,,Cc1c(CNc2ccc(Cl)c(Cl)c2)cnc2nc(N)nc(N)c12
CHEMBL196278,,OCC(O)CN1CCC(c2cc(-c3ccncc3)c(-c3ccc(F)cc3)[nH]2)CC1
CHEMBL261473,,CCCCCCCNCC(P(=O)(O)O)P(=O)(O)O
CHEMBL215671,,NC(=S)N/N=C1\CCOc2ccc(Br)cc21
CHEMBL260601,,CCCCCCCCNCC(P(=O)(O)O)P(=O)(O)O
CHEMBL189369,,Nc1nc(N)c2nc(CN3c4ccccc4C=Cc4c(C#CCCC(=O)O)cccc43)cnc2n1
CHEMBL2392450,,Cc1cc(C(=O)NCc2ccc(Oc3ccc(Cl)cc3Cl)c(O)c2)no1
CHEMBL189796,,CCOC(=O)CCCOc1ccc(OC)c(Cc2cnc3nc(N)nc(N)c3c2C)c1
CHEMBL3797314,,O=C(NO)c1cccc(NC(=O)c2ccccc2)c1
CHEMBL3800182,,COc1ccc(C(=O)NO)cc1S(=O)(=O)Nc1ccc(C)cc1
CHEMBL4084736,,O=C(CCCCN1C(=O)[C@@H](CS)N=C(c2ccccc2)c2ccccc21)NO
CHEMBL90430,,NCCC(=O)N(CCCN1CCN(CCCNc2ccnc3cc(Cl)ccc23)CC1)CC1CC1
CHEMBL293258,,Cc1cn(C2CC(O)C(OP(=O)(O)O)O2)c(=O)[nH]c1=O
CHEMBL330585,,O=C(N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCc1ccccc1)C(=O)[C@@H]1CO1)OCc1ccccc1
CHEMBL3298102,,O=C(Nc1ccc(Oc2ccc(Cl)cc2)cc1)c1cc(I)cc(I)c1O
CHEMBL141417,,COc1cc(CCNc2ccc3nc(N)nc(N)c3c2Cl)cc(OC)c1OC
CHEMBL52415,,COc1cc(Cc2cnc(N)nc2N)cc(C#Cc2ccc(C(=O)O)cc2)c1OC
CHEMBL280378,EPIROPRIM,CCOc1cc(Cc2cnc(N)nc2N)cc(OCC)c1-n1cccc1
CHEMBL432136,,Nc1nc(N)c2c(CNc3ccccc3)c[nH]c2n1
CHEMBL88430,,COc1ccc(OC)c(NCc2ccc3nc(N)nc(N)c3c2Cl)c1
CHEMBL90866,,CC/C(=N\N=C(\N)S)c1cccc(Cl)c1
CHEMBL91844,,N/C(S)=N/N=C/c1cccc(Br)c1
CHEMBL106127,,C[N+](C)(CCCN1c2ccccc2Sc2ccc(Cl)cc21)Cc1ccc(Cl)c(Cl)c1
CHEMBL1793974,,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCOc2ccccc2)NC1=O
CHEMBL3264804,,CCCN(CCC)C(=O)c1cc(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNC(C)(C)c2ccncc2)cc(N2CCCCC2)c1
